Nondimensionalised mobility scalars, generated 05/09/2023 22:40:01. Time to generate 3h02m42s
             s'          lambda           gamma              xa              ya              yb              xc              yc              xg              yg              yh              xm              ym              zm 
 2.02500000e+00  1.00000000e-02  0.00000000e+00  9.99999993e-01  9.99998909e-01  1.11534819e-06  1.00000000e+00  9.99996579e-01 -3.73923099e-08  4.93070068e-07  1.51231041e-06  1.00000051e+00  1.00000161e+00  1.00000081e+00
 2.02500000e+00  1.00000000e-02  1.00000000e+00  9.99303377e-01  9.67835926e-01 -4.78769038e-01  9.35134141e-01 -4.45874115e-01 -5.08940501e-01 -2.28925041e-01  1.15931689e+00 -7.27347527e-07  1.29294217e-06 -9.08344790e-07
 2.05000000e+00  1.00000000e-02  0.00000000e+00  9.99999985e-01  9.99999039e-01  9.94296945e-07  1.00000000e+00  9.99996912e-01 -4.24038113e-08  4.08750158e-07  1.26917873e-06  1.00000030e+00  1.00000125e+00  1.00000071e+00
 2.05000000e+00  1.00000000e-02  1.00000000e+00  9.98291289e-01  9.50071867e-01 -4.66803425e-01  9.01297986e-01 -4.44014872e-01 -5.13101738e-01 -2.17799192e-01  1.12389136e+00 -5.49139102e-07  1.12580372e-06 -8.44881247e-07
 2.10000000e+00  1.00000000e-02  0.00000000e+00  9.99999963e-01  9.99999216e-01  8.31507520e-07  1.00000000e+00  9.99997355e-01 -3.45078069e-08  2.93122581e-07  9.32344651e-07  1.00000008e+00  1.00000079e+00  1.00000056e+00
 2.10000000e+00  1.00000000e-02  1.00000000e+00  9.95203213e-01  9.16928521e-01 -4.44669795e-01  8.38433226e-01 -4.17749013e-01 -5.18364351e-01 -1.97715333e-01  1.04752356e+00 -2.82489057e-07  8.89038153e-07 -7.46311126e-07
 2.20000000e+00  1.00000000e-02  0.00000000e+00  9.99999911e-01  9.99999461e-01  5.98815320e-07  1.00000000e+00  9.99998004e-01  1.95489747e-08  1.47996854e-07  4.93135591e-07  1.00000001e+00  1.00000029e+00  1.00000035e+00
 2.20000000e+00  1.00000000e-02  1.00000000e+00  9.85506136e-01  8.57410857e-01 -4.05103710e-01  7.29218815e-01 -3.64384585e-01 -5.20352285e-01 -1.64123590e-01  9.11467924e-01  1.01105306e-07  5.40636045e-07 -5.90936531e-07
 2.30000000e+00  1.00000000e-02  0.00000000e+00  9.99999862e-01  9.99999622e-01  4.38509876e-07  1.00000000e+00  9.99998472e-01  8.45271763e-08  6.80689926e-08  2.37097389e-07  1.00000012e+00  1.00000009e+00  1.00000022e+00
 2.30000000e+00  1.00000000e-02  1.00000000e+00  9.72322252e-01  8.05284767e-01 -3.70630887e-01  6.38178790e-01 -3.19025690e-01 -5.14410564e-01 -1.37385131e-01  7.97713599e-01  3.52421566e-07  2.96982178e-07 -4.73115417e-07
 2.40000000e+00  1.00000000e-02  0.00000000e+00  9.99999823e-01  9.99999731e-01  3.25492521e-07  1.00000000e+00  9.99998817e-01  1.39637600e-07  2.42683416e-08  8.81793162e-08  1.00000026e+00  1.00000002e+00  1.00000015e+00
