'D'-form resistance scalars, generated 26/04/2020 20:38:12
             s'          lambda           gamma              XA              YA              YB              XC              YC              XG              YG              YH              XM              YM              ZM
 2.00001000e+00  1.00000000e-02  0.00000000e+00  1.94270966e+01  3.88018373e-02 -3.90383726e-02  2.58679966e-07  3.92437747e-02  1.94278753e+01  1.92266129e-02  1.93248283e-02  1.29524289e+01  1.90380377e-02  4.73507543e-07
 2.00001000e+00  1.00000000e-02  1.00000000e+00 -1.94271108e+01 -3.88919048e-02  3.91251188e-02 -2.59624301e-07  7.08975544e-05 -1.94278765e+01 -1.92689109e-02  3.79000640e-05  1.29056330e-01  2.65364429e-04 -4.06863371e-07
 2.00002000e+00  1.00000000e-02  0.00000000e+00  9.71975807e+00  3.52036295e-02 -3.54137550e-02  2.55337844e-07  3.55922151e-02  9.72047050e+00  1.74407184e-02  1.75259952e-02  6.48078161e+00  1.72650865e-02  4.70230946e-07
 2.00002000e+00  1.00000000e-02  1.00000000e+00 -9.71977228e+00 -3.52936970e-02  3.55005012e-02 -2.56282179e-07  6.18614354e-05 -9.72047177e+00 -1.74830164e-02  3.31118762e-05  6.43845019e-02  2.34704021e-04 -4.03586774e-07
 2.00005000e+00  1.00000000e-02  0.00000000e+00  3.89432139e+00  3.04587264e-02 -3.06342715e-02  2.46137223e-07  3.07774561e-02  3.89494691e+00  1.50855697e-02  1.51539039e-02  2.59704127e+00  1.49268928e-02  4.61210711e-07
 2.00005000e+00  1.00000000e-02  1.00000000e+00 -3.89433560e+00 -3.05487939e-02  3.07210177e-02 -2.47081558e-07  5.00799546e-05 -3.89494818e+00 -1.51278677e-02  2.68664317e-05  2.56058287e-02  1.94587834e-04 -3.94566539e-07
 2.00010000e+00  1.00000000e-02  0.00000000e+00  1.95171284e+00  2.68866562e-02 -2.70365338e-02  2.32082448e-07  2.71535379e-02  1.95227348e+00  1.33123875e-02  1.33681449e-02  1.30188239e+00  1.31663065e-02  4.47431494e-07
 2.00010000e+00  1.00000000e-02  1.00000000e+00 -1.95172705e+00 -2.69767236e-02  2.71232800e-02 -2.33026784e-07  4.14103308e-05 -1.95227475e+00 -1.33546855e-02  2.22668363e-05  1.26982409e-02  1.64856254e-04 -3.80787322e-07
 2.00020000e+00  1.00000000e-02  0.00000000e+00  9.79704129e-01  2.33432964e-02 -2.34683220e-02  2.06260514e-07  2.35599820e-02  9.80201349e-01  1.15531690e-02  1.15967469e-02  6.53792006e-01  1.14193024e-02  4.22115823e-07
 2.00020000e+00  1.00000000e-02  1.00000000e+00 -9.79718338e-01 -2.34333639e-02  2.35550682e-02 -2.07204849e-07  3.31432785e-05 -9.80202621e-01 -1.15954670e-02  1.78743975e-05  6.26063033e-03  1.36144934e-04 -3.55471651e-07
 2.00050000e+00  1.00000000e-02  0.00000000e+00  3.95503712e-01  1.87448049e-02 -1.88394084e-02  1.37052178e-07  1.89000583e-02  3.95921413e-01  9.26922918e-03  9.29789126e-03  2.64218993e-01  9.15037202e-03  3.54264379e-07
 2.00050000e+00  1.00000000e-02  1.00000000e+00 -3.95517921e-01 -1.88348723e-02  1.89261547e-02 -1.37996513e-07  2.34147481e-05 -3.95922685e-01 -9.31152718e-03  1.26853674e-05  2.42002126e-03  1.01231651e-04 -2.87620208e-07
 2.00100000e+00  1.00000000e-02  0.00000000e+00  2.00030364e-01  1.53886555e-02 -1.54637241e-02  3.45008893e-08  1.55044837e-02  2.00394095e-01  7.60106248e-03  7.62013653e-03  1.33831403e-01  7.49193210e-03  2.53723703e-07
