Nondimensionalised resistance scalars, generated 05/09/2023 22:40:01. Time to generate 3h02m42s
             s'          lambda           gamma              XA              YA              YB              XC              YC              XG              YG              YH              XM              YM              ZM 
 2.02500000e+00  1.00000000e-02  0.00000000e+00  1.01801911e+00  1.01218488e+00 -1.80838763e-02  1.00000088e+00  1.00894722e+00  2.75310222e-02  8.64953078e-03  4.27915209e-03  1.01121769e+00  1.00491399e+00  1.00000081e+00
 2.02500000e+00  1.00000000e-02  1.00000000e+00 -1.80316708e-02 -1.25872199e-02  1.86795988e-02 -9.43979890e-07  1.19846982e-06 -2.75503327e-02 -8.93317541e-03  1.54236042e-06  1.34696937e-05  6.22647905e-06 -9.08344790e-07
 2.05000000e+00  1.00000000e-02  0.00000000e+00  1.01416893e+00  1.01058936e+00 -1.56099367e-02  1.00000081e+00  1.00767119e+00  2.18474920e-02  7.28472429e-03  3.57961977e-03  1.00898369e+00  1.00401093e+00  1.00000071e+00
 2.05000000e+00  1.00000000e-02  1.00000000e+00 -1.41931705e-02 -1.11439219e-02  1.64261283e-02 -9.03572683e-07  6.55755770e-07 -2.18850144e-02 -7.66443984e-03  1.22862412e-06  4.71606781e-06  2.99098529e-06 -8.44881247e-07
 2.10000000e+00  1.00000000e-02  0.00000000e+00  1.01202881e+00  1.00918252e+00 -1.33604071e-02  1.00000070e+00  1.00648055e+00  1.87959208e-02  5.94150770e-03  2.88163593e-03  1.00783220e+00  1.00307707e+00  1.00000056e+00
 2.10000000e+00  1.00000000e-02  1.00000000e+00 -1.20867530e-02 -1.00128591e-02  1.45673871e-02 -8.38853859e-07  4.75240276e-07 -1.88866188e-02 -6.47726091e-03  1.07420776e-06  1.47014806e-06  1.46160838e-06 -7.46311126e-07
 2.20000000e+00  1.00000000e-02  0.00000000e+00  1.01073764e+00  1.00768553e+00 -1.08944163e-02  1.00000053e+00  1.00514840e+00  1.70084966e-02  4.41443051e-03  2.08579488e-03  1.00718444e+00  1.00202959e+00  1.00000035e+00
 2.20000000e+00  1.00000000e-02  1.00000000e+00 -1.08954631e-02 -8.96241820e-03  1.27035229e-02 -7.29275158e-07  3.83785470e-07 -1.72585799e-02 -5.14673117e-03  9.19485683e-07  6.11708713e-07  6.75914379e-07 -5.90936531e-07
 2.30000000e+00  1.00000000e-02  0.00000000e+00  1.01010413e+00  1.00667266e+00 -9.21383143e-03  1.00000041e+00  1.00424151e+00  1.60369078e-02  3.41585789e-03  1.57213353e-03  1.00678752e+00  1.00139980e+00  1.00000022e+00
 2.30000000e+00  1.00000000e-02  1.00000000e+00 -1.03916034e-02 -8.28509011e-03  1.14396057e-02 -6.38193771e-07  3.29777134e-07 -1.64931451e-02 -4.24043653e-03  8.01742782e-07  5.86257954e-07  3.47288858e-07 -4.73115417e-07
