Nondimensionalised resistance scalars, generated 14/07/2023 17:39:29. Time to generate 0h04m14s
             s'          lambda           gamma              XA              YA              YB              XC              YC              XG              YG              YH              XM              YM              ZM 
 2.00001000e+00  1.00000000e+00  0.00000000e+00  2.50035858e+04  2.91713802e+00 -2.63932618e+00  1.05178540e+00  3.00544095e+00  3.75034164e+04  1.29796550e+00  2.13819451e-01  1.50022711e+04  2.26622491e+00  1.02508837e+00
 2.00001000e+00  1.00000000e+00  1.00000000e+00 -2.50029406e+04 -2.19247292e+00  2.87662308e+00 -1.50242722e-01  5.48189445e-01 -3.75036901e+04 -1.33662228e+00  1.12200876e+00  1.50014088e+04  1.37821769e-01 -7.23020227e-02
 2.00002000e+00  1.00000000e+00  0.00000000e+00  1.25034299e+04  2.80161349e+00 -2.46605205e+00  1.05177274e+00  2.86683056e+00  1.87531825e+04  1.21132843e+00  1.96497708e-01  7.50217750e+03  2.18304955e+00  1.02508077e+00
 2.00002000e+00  1.00000000e+00  1.00000000e+00 -1.25027846e+04 -2.07694839e+00  2.70334894e+00 -1.50230063e-01  5.13538364e-01 -1.87534562e+04 -1.24998521e+00  1.05269977e+00  7.50131528e+03  1.17040842e-01 -7.22944277e-02
 2.00005000e+00  1.00000000e+00  0.00000000e+00  5.00322372e+03  2.64889837e+00 -2.23701421e+00  1.05173789e+00  2.68362482e+00  7.50287332e+03  1.09680951e+00  1.73609536e-01  3.00205383e+03  2.07310102e+00  1.02505986e+00
 2.00005000e+00  1.00000000e+00  1.00000000e+00 -5.00257845e+03 -1.92423327e+00  2.47431110e+00 -1.50195216e-01  4.67741112e-01 -7.50314702e+03 -1.13546630e+00  9.61086443e-01  3.00119163e+03  8.95892537e-02 -7.22735193e-02
 2.00010000e+00  1.00000000e+00  0.00000000e+00  2.50306777e+03  2.53337384e+00 -2.06378065e+00  1.05168466e+00  2.54507545e+00  3.75263947e+03  1.01019273e+00  1.56310028e-01  1.50196031e+03  1.98993307e+00  1.02502792e+00
 2.00010000e+00  1.00000000e+00  1.00000000e+00 -2.50242250e+03 -1.80870874e+00  2.30107754e+00 -1.50141984e-01  4.33110156e-01 -3.75291317e+03 -1.04884951e+00  8.91795786e-01  1.50109813e+03  6.88515628e-02 -7.22415798e-02
 2.00020000e+00  1.00000000e+00  0.00000000e+00  1.25291183e+03  2.41784931e+00 -1.89059165e+00  1.05158686e+00  2.40659310e+00  1.87740570e+03  9.23598231e-01  1.39034943e-01  7.51866836e+02  1.90677325e+00  1.02496924e+00
 2.00020000e+00  1.00000000e+00  1.00000000e+00 -1.25226657e+03 -1.69318421e+00  2.12788855e+00 -1.50044183e-01  3.98501306e-01 -1.87767940e+03 -9.62255017e-01  8.22525274e-01  7.51004697e+02  4.81613637e-02 -7.21828995e-02
 2.00050000e+00  1.00000000e+00  0.00000000e+00  5.02705724e+02  2.26513419e+00 -1.66178110e+00  1.05132473e+00  2.22372919e+00  7.52096888e+02  8.09192952e-01  1.16271320e-01  3.01743401e+02  1.79686617e+00  1.02481197e+00
 2.00050000e+00  1.00000000e+00  1.00000000e+00 -5.02060458e+02 -1.54046909e+00  1.89907799e+00 -1.49782056e-01  3.52816785e-01 -7.52370591e+02 -8.47849739e-01  7.31014682e-01  3.00881367e+02  2.09519638e-02 -7.20256235e-02
 2.00100000e+00  1.00000000e+00  0.00000000e+00  2.52549849e+02  2.14960966e+00 -1.48888271e+00  1.05093632e+00  2.08568393e+00  3.76863600e+02  7.22743761e-01  9.91554911e-02  1.51650218e+02  1.71375936e+00  1.02457892e+00
 2.00100000e+00  1.00000000e+00  1.00000000e+00 -2.51904583e+02 -1.42494456e+00  1.72617961e+00 -1.49393643e-01  3.18352078e-01 -3.77137303e+02 -7.61400548e-01  6.61875526e-01  1.50788339e+02  5.71441275e-04 -7.17925757e-02
 2.00200000e+00  1.00000000e+00  0.00000000e+00  1.27394039e+02  2.03408513e+00 -1.31628610e+00  1.05024614e+00  1.94809253e+00  1.89130816e+02  6.36445455e-01  8.22050316e-02  7.65573392e+01  1.63070758e+00  1.02416481e+00
 2.00200000e+00  1.00000000e+00  1.00000000e+00 -1.26748773e+02 -1.30942003e+00  1.55358299e+00 -1.48703461e-01  2.84037050e-01 -1.89404519e+02 -6.75102241e-01  5.92872771e-01  7.56957364e+01 -1.94875155e-02 -7.13784662e-02
 2.00500000e+00  1.00000000e+00  0.00000000e+00  5.21882502e+01  1.88137001e+00 -1.08897122e+00  1.04848834e+00  1.76747811e+00  7.63245063e+01  5.22788012e-01  6.02610357e-02  3.14354128e+01  1.52107332e+00  1.02311013e+00
 2.00500000e+00  1.00000000e+00  1.00000000e+00 -5.15429845e+01 -1.15670491e+00  1.32626811e+00 -1.46945665e-01  2.39094380e-01 -7.65982089e+01 -5.61444798e-01  5.02038222e-01  3.05745131e+01 -4.51031297e-02 -7.03237884e-02
 2.01000000e+00  1.00000000e+00  0.00000000e+00  2.70328160e+01  1.76584548e+00 -9.18129435e-01  1.04604333e+00  1.63252597e+00  3.85946558e+01  4.37367121e-01  4.42722241e-02  1.63443039e+01  1.43834163e+00  1.02164312e+00
 2.01000000e+00  1.00000000e+00  1.00000000e+00 -2.63875503e+01 -1.04118038e+00  1.15542633e+00 -1.44500650e-01  2.05649749e-01 -3.88683584e+01 -4.76023908e-01  4.33828650e-01  1.54843822e+01 -6.32921378e-02 -6.88567798e-02
 2.02000000e+00  1.00000000e+00  0.00000000e+00  1.43777201e+01  1.65032095e+00 -7.48866235e-01  1.04201973e+00  1.49994803e+00  1.96174438e+01  3.52735521e-01  2.91484745e-02  8.75478710e+00  1.35589787e+00  1.01922897e+00
