             s'          lambda           gamma              XA              YA              YB              XC              YC              XG              YG              YH              XM              YM              ZM 
 2.00001000e+00  1.00000000e-02  0.00000000e+00  2.04372552e+01  1.04870376e+00 -4.88898632e-02  1.33333484e+00  1.38237888e+00  1.94381329e+01  2.40522209e-02  2.41257229e-02  1.40704455e+01  1.13485462e+00  1.11111259e+00
 2.00001000e+00  1.00000000e-02  1.00000000e+00 -1.94372724e+01 -4.89485123e-02  4.91287031e-02 -1.55180647e-06  7.15720004e-05 -1.94381364e+01 -2.41680916e-02  3.95291827e-05  1.29055380e-01  2.66916798e-04 -1.46151487e-06
 2.00002000e+00  1.00000000e-02  0.00000000e+00  1.07299167e+01  1.04510555e+00 -4.52652457e-02  1.33333484e+00  1.37872732e+00  9.73072818e+00  2.22663265e-02  2.23268898e-02  7.59879815e+00  1.13308167e+00  1.11111258e+00
 2.00002000e+00  1.00000000e-02  1.00000000e+00 -9.72993386e+00 -4.53503045e-02  4.55040855e-02 -1.54846435e-06  6.25358814e-05 -9.73073165e+00 -2.23821972e-02  3.47409949e-05  6.43835525e-02  2.36256390e-04 -1.45823828e-06
 2.00005000e+00  1.00000000e-02  0.00000000e+00  4.90447999e+00  1.04036065e+00 -4.04857622e-02  1.33333483e+00  1.37391256e+00  3.90520459e+00  1.99111777e-02  1.99547986e-02  3.71505782e+00  1.13074348e+00  1.11111257e+00
 2.00005000e+00  1.00000000e-02  1.00000000e+00 -3.90449719e+00 -4.06054014e-02  4.07246020e-02 -1.53926373e-06  5.07544006e-05 -3.90520807e+00 -2.00270485e-02  2.84955504e-05  2.56048794e-02  1.96140203e-04 -1.44921804e-06
 2.00010000e+00  1.00000000e-02  0.00000000e+00  2.96187144e+00  1.03678858e+00 -3.68880245e-02  1.33333482e+00  1.37028865e+00  1.96253116e+00  1.81379956e-02  1.81690395e-02  2.41989894e+00  1.12898289e+00  1.11111256e+00
 2.00010000e+00  1.00000000e-02  1.00000000e+00 -1.96188863e+00 -3.70333312e-02  3.71268644e-02 -1.52520895e-06  4.20847768e-05 -1.96253464e+00 -1.82538663e-02  2.38959550e-05  1.26972916e-02  1.66408623e-04 -1.43543882e-06
 2.00020000e+00  1.00000000e-02  0.00000000e+00  1.98986273e+00  1.03324522e+00 -3.33198127e-02  1.33333479e+00  1.36669509e+00  9.90459029e-01  1.63787771e-02  1.63976415e-02  1.77180856e+00  1.12723589e+00  1.11111253e+00
 2.00020000e+00  1.00000000e-02  1.00000000e+00 -9.89879922e-01 -3.34899714e-02  3.35586526e-02 -1.49938702e-06  3.38177245e-05 -9.90462507e-01 -1.64946478e-02  1.95035162e-05  6.25968099e-03  1.37697303e-04 -1.41012315e-06
 2.00050000e+00  1.00000000e-02  0.00000000e+00  1.40566231e+00  1.02864672e+00 -2.86908991e-02  1.33333472e+00  1.36203517e+00  4.06179093e-01  1.40948372e-02  1.40987859e-02  1.38223554e+00  1.12496696e+00  1.11111247e+00
 2.00050000e+00  1.00000000e-02  1.00000000e+00 -4.05679506e-01 -2.88914799e-02  2.89297390e-02 -1.43017868e-06  2.40891941e-05 -4.06182572e-01 -1.42107080e-02  1.43144861e-05  2.41907192e-03  1.02784020e-04 -1.34227171e-06
 2.00100000e+00  1.00000000e-02  0.00000000e+00  1.21018896e+00  1.02529057e+00 -2.53152148e-02  1.33333462e+00  1.35863959e+00  2.10651775e-01  1.24266705e-02  1.24210311e-02  1.25184795e+00  1.12330852e+00  1.11111237e+00
 2.00100000e+00  1.00000000e-02  1.00000000e+00 -2.10206157e-01 -2.55353304e-02  2.55540546e-02 -1.32762739e-06  1.84471635e-05 -2.10655253e-01 -1.25425413e-02  1.12728401e-05  1.15387439e-03  8.07254353e-05 -1.24173103e-06
 2.00200000e+00  1.00000000e-02  0.00000000e+00  1.11184030e+00  1.02212882e+00 -2.21394494e-02  1.33333444e+00  1.35544960e+00  1.12258957e-01  1.08530513e-02  1.08405148e-02  1.18622319e+00  1.12174204e+00  1.11111219e+00
 2.00200000e+00  1.00000000e-02  1.00000000e+00 -1.11857494e-01 -2.23735787e-02  2.23782892e-02 -1.14540096e-06  1.55309344e-05 -1.12262436e-01 -1.09689220e-02  9.63384655e-06  5.31513082e-04  6.55749980e-05 -1.06307732e-06
 2.00500000e+00  1.00000000e-02  0.00000000e+00  1.05208405e+00  1.01849383e+00 -1.85014000e-02  1.33333397e+00  1.35180861e+00  5.24718358e-02  9.03771987e-03  9.02360473e-03  1.14634424e+00  1.11992892e+00  1.11111173e+00
 2.00500000e+00  1.00000000e-02  1.00000000e+00 -5.21012439e-02 -1.87385865e-02  1.87402398e-02 -6.81296320e-07  1.93123752e-05 -5.24753140e-02 -9.15359057e-03  1.13968245e-05  1.64093619e-04  6.49007731e-05 -6.08071874e-07
 2.01000000e+00  1.00000000e-02  0.00000000e+00  1.03176448e+00  1.01646253e+00 -1.64881906e-02  1.33333333e+00  1.34981411e+00  3.21651921e-02  8.01390712e-03  8.00854306e-03  1.13281468e+00  1.11889723e+00  1.11111110e+00
 2.01000000e+00  1.00000000e-02  1.00000000e+00 -3.17816774e-02 -1.67072844e-02  1.67270305e-02 -3.57479694e-08  3.22470560e-05 -3.21686703e-02 -8.12977783e-03  1.79144474e-05  3.48179670e-05  8.99221627e-05  2.48199063e-08
 2.02000000e+00  1.00000000e-02  0.00000000e+00  1.02149435e+00  1.01544814e+00 -1.55207729e-02  1.33333227e+00  1.34889502e+00  2.19593235e-02  7.48467953e-03  7.50214305e-03  1.12605295e+00  1.11834661e+00  1.11111006e+00
 2.02000000e+00  1.00000000e-02  1.00000000e+00 -2.15115412e-02 -1.56928919e-02  1.57596127e-02  1.02658729e-06  5.94406170e-05 -2.19628017e-02 -7.60055024e-03  3.17694545e-05 -5.18471028e-05  1.51080611e-04  1.06632710e-06
 2.02500000e+00  1.00000000e-02  0.00000000e+00  1.01704560e+00  1.01205409e+00 -1.19249540e-02  1.33333451e+00  1.34513181e+00  1.73668092e-02  5.70419510e-03  5.64329441e-03  1.12290781e+00  1.11651201e+00  1.11111201e+00
 2.02500000e+00  1.00000000e-02  1.00000000e+00 -1.70578138e-02 -1.24532481e-02  1.23189105e-02 -1.25679180e-06  1.99026903e-06 -1.73793356e-02 -5.89177728e-03  2.23866324e-06  1.02382787e-05  5.89746050e-06 -1.00477613e-06
 2.05000000e+00  1.00000000e-02  0.00000000e+00  1.01382605e+00  1.01053193e+00 -1.03496287e-02  1.33333442e+00  1.34350503e+00  1.42137452e-02  4.83007300e-03  4.74661835e-03  1.12085311e+00  1.11554341e+00  1.11111190e+00
 2.05000000e+00  1.00000000e-02  1.00000000e+00 -1.38498727e-02 -1.10838726e-02  1.08911610e-02 -1.20437196e-06  1.01544968e-06 -1.42383357e-02 -5.08201421e-03  1.70278003e-06  3.80709965e-06  2.97482939e-06 -9.37576188e-07
 2.10000000e+00  1.00000000e-02  0.00000000e+00  1.01194141e+00  1.00916579e+00 -8.89058182e-03  1.33333427e+00  1.34195808e+00  1.24397452e-02  3.95377918e-03  3.83511862e-03  1.11975058e+00  1.11452384e+00  1.11111173e+00
 2.10000000e+00  1.00000000e-02  1.00000000e+00 -1.19989862e-02 -9.99469809e-03  9.69384085e-03 -1.11842885e-06  6.64114829e-07 -1.24998369e-02 -4.31033200e-03  1.44565705e-06  1.32708921e-06  1.54830408e-06 -8.29053753e-07
 2.20000000e+00  1.00000000e-02  0.00000000e+00  1.01072551e+00  1.00768312e+00 -7.26065277e-03  1.33333404e+00  1.34019568e+00  1.13261988e-02  2.94203114e-03  2.78018304e-03  1.11908482e+00  1.11336550e+00  1.11111150e+00
 2.20000000e+00  1.00000000e-02  1.00000000e+00 -1.08831693e-02 -8.95961556e-03  8.46635154e-03 -9.72364985e-07  5.14687565e-07 -1.14927447e-02 -3.43008171e-03  1.22717485e-06  6.45127522e-07  7.43340049e-07 -6.56584051e-07
 2.30000000e+00  1.00000000e-02  0.00000000e+00  1.01010080e+00  1.00667203e+00 -6.14196695e-03  1.33333388e+00  1.33898814e+00  1.06877561e-02  2.27702226e-03  2.09597796e-03  1.11865032e+00  1.11266630e+00  1.11111136e+00
 2.30000000e+00  1.00000000e-02  1.00000000e+00 -1.03881900e-02 -8.28430336e-03  7.62567617e-03 -8.50924797e-07  4.40308934e-07 -1.09918178e-02 -2.82668968e-03  1.06921322e-06  6.43384617e-07  3.84324516e-07 -5.25681975e-07
 2.40000000e+00  1.00000000e-02  0.00000000e+00  1.00961396e+00  1.00588363e+00 -5.27574930e-03  1.33333375e+00  1.33806468e+00  1.01153041e-02  1.79628942e-03  1.61052245e-03  1.11820634e+00  1.11220874e+00  1.11111127e+00
 2.40000000e+00  1.00000000e-02  1.00000000e+00 -1.00482658e-02 -7.74843627e-03  6.94751097e-03 -7.48919380e-07  3.83788199e-07 -1.05721626e-02 -2.36517577e-03  9.39347517e-07  7.14261146e-07  1.64653666e-07 -4.24908248e-07
 2.50000000e+00  1.00000000e-02  0.00000000e+00  1.00917616e+00  1.00524085e+00 -4.57774601e-03  1.33333366e+00  1.33733244e+00  9.55062381e-03  1.43643605e-03  1.25449703e-03  1.11773809e+00  1.11189919e+00  1.11111122e+00
 2.50000000e+00  1.00000000e-02  1.00000000e+00 -9.76552557e-03 -7.29540983e-03  6.37204315e-03 -6.62592695e-07  3.37729580e-07 -1.01638837e-02 -1.99919964e-03  8.30270230e-07  7.72033370e-07  1.85683554e-08 -3.46455454e-07
 2.60000000e+00  1.00000000e-02  0.00000000e+00  1.00876421e+00  1.00470484e+00 -4.00370388e-03  1.33333359e+00  1.33674087e+00  8.99123405e-03  1.16153023e-03  9.88244830e-04  1.11726064e+00  1.11168520e+00  1.11111118e+00
 2.60000000e+00  1.00000000e-02  1.00000000e+00 -9.51042404e-03 -6.90136312e-03  5.87265603e-03 -5.89041240e-07  2.99169721e-07 -9.75658687e-03 -1.70351466e-03  7.37656077e-07  8.06589009e-07 -8.06911437e-08 -2.84760066e-07
 2.70000000e+00  1.00000000e-02  0.00000000e+00  1.00837064e+00  1.00425107e+00 -3.52507673e-03  1.33333354e+00  1.33625681e+00  8.44330765e-03  9.48325706e-04  7.86191579e-04  1.11678897e+00  1.11153471e+00  1.11111116e+00
 2.70000000e+00  1.00000000e-02  1.00000000e+00 -9.27110866e-03 -6.55283250e-03  5.43356041e-03 -5.25985769e-07  2.66479924e-07 -9.35137304e-03 -1.46155567e-03  6.58423621e-07  8.19890549e-07 -1.48198059e-07 -2.35790452e-07
 2.80000000e+00  1.00000000e-02  0.00000000e+00  1.00799375e+00  1.00386260e+00 -3.12184215e-03  1.33333350e+00  1.33585682e+00  7.91387243e-03  7.80931581e-04  6.30999237e-04  1.11633443e+00  1.11142731e+00  1.11111115e+00
 2.80000000e+00  1.00000000e-02  1.00000000e+00 -9.04296759e-03 -6.24116370e-03  5.04410167e-03 -4.71618620e-07  2.38489771e-07 -8.95237253e-03 -1.26161381e-03  5.90195814e-07  8.17169440e-07 -1.93411807e-07 -1.96586855e-07
 2.90000000e+00  1.00000000e-02  0.00000000e+00  1.00763317e+00  1.00352697e+00 -2.77918608e-03  1.33333347e+00  1.33552357e+00  7.40794613e-03  6.48099488e-04  5.10537376e-04  1.11590415e+00  1.11134967e+00  1.11111114e+00
 2.90000000e+00  1.00000000e-02  1.00000000e+00 -8.82379172e-03 -5.96014649e-03  4.69636659e-03 -4.24493357e-07  2.14348468e-07 -8.56318845e-03 -1.09502709e-03  5.31108112e-07  8.02920107e-07 -2.22755737e-07 -1.64950797e-07
