Mobility scalars, generated 25/01/2019 15:36:04. Time to generate 0h50m57s
             s'          lambda            x11a            x12a            x21a            x22a            y11a            y12a            y21a            y22a            y11b            y12b            y21b            y22b            x11c            x12c            x21c            x22c            y11c            y12c            y21c            y22c            x11g            x12g            x21g            x22g            y11g            y12g            y21g            y22g            y11h            y12h            y21h            y22h            x11m            x12m            x21m            x22m            y11m            y12m            y21m            y22m            z11m            z12m            z21m            z22m 
 2.02500000e+00  1.00000000e-02  9.99999993e-01  9.99283497e-01  9.99283441e-01  5.95807231e+01  9.99998926e-01  9.67724272e-01  9.67723878e-01  7.93480708e+01  1.64791289e-06 -7.17982442e-01  7.11378431e-01 -8.07386271e+01  7.50000000e-01  7.01340573e-01  7.01340573e-01  7.44054498e+05  7.49997473e-01 -3.41730522e-01 -3.41737585e-01  7.34959774e+05 -7.32670161e-08 -1.01811902e+00  1.07631440e-07 -9.51813440e-04  9.71249763e-07 -4.57748540e-01  7.82954639e-07 -3.80111207e-04  1.48948687e-06  1.16364710e+00  1.20091969e-06 -4.25121435e-03  1.11111166e+00 -7.90890932e-07 -7.90890932e-07  1.14565731e-06  1.11111287e+00  1.41494688e-06  1.41491793e-06  1.14152156e-06  1.11111201e+00 -1.00477613e-06 -1.00477613e-06  1.12351278e-06
 2.05000000e+00  1.00000000e-02  9.99999985e-01  9.98278844e-01  9.98278839e-01  7.30751191e+01  9.99999044e-01  9.50028692e-01  9.50028674e-01  8.72725627e+01  1.48471762e-06 -7.00138135e-01  6.97814234e-01 -2.75607007e+01  7.50000000e-01  6.75971991e-01  6.75971991e-01  7.48354126e+05  7.49997695e-01 -3.34904435e-01 -3.34904680e-01  7.45813360e+05 -8.42598884e-08 -1.02627880e+00  1.57635950e-07 -4.64775023e-04  8.13795737e-07 -4.35561478e-01  7.31915832e-07 -1.68919050e-04  1.26342919e-06  1.12493207e+00  1.13650332e-06 -1.51867670e-03  1.11111144e+00 -6.06142613e-07 -6.06142613e-07  1.12278413e-06  1.11111250e+00  1.24524380e-06  1.24524380e-06  1.12084612e-06  1.11111190e+00 -9.37576188e-07 -9.37576188e-07  1.11476456e-06
 2.10000000e+00  1.00000000e-02  9.99999963e-01  9.95198076e-01  9.95198076e-01  8.39306025e+01  9.99999216e-01  9.16918288e-01  9.16918288e-01  9.31753779e+01  1.24620823e-06 -6.66988422e-01  6.66353509e-01 -7.29715361e+00  7.50000000e-01  6.28824807e-01  6.28824807e-01  7.49653112e+05  7.49998018e-01 -3.13593236e-01 -3.13593241e-01  7.49103424e+05 -6.89278818e-08 -1.03673883e+00  2.47007596e-07 -1.96624658e-04  5.85748463e-07 -3.95422991e-01  6.60414651e-07 -6.37181891e-05  9.31554838e-07  1.04765621e+00  1.05049125e-06 -4.33806663e-04  1.11111120e+00 -3.13476706e-07 -3.13476706e-07  1.11444290e-06  1.11111199e+00  9.86985466e-07  9.86985466e-07  1.11370553e-06  1.11111173e+00 -8.29053753e-07 -8.29053753e-07  1.11196640e-06
 2.20000000e+00  1.00000000e-02  9.99999911e-01  9.85505118e-01  9.85505118e-01  9.15243653e+01  9.99999461e-01  8.57409762e-01  8.57409762e-01  9.69250094e+01  8.98154094e-07 -6.07653741e-01  6.07531291e-01 -1.80040529e+00  7.50000000e-01  5.46914108e-01  5.46914108e-01  7.49943910e+05  7.49998503e-01 -2.73306637e-01 -2.73306637e-01  7.49849694e+05  3.90936010e-08 -1.04070414e+00  3.84657472e-07 -6.91605589e-05  2.95970945e-07 -3.28246578e-01  5.47268210e-07 -1.96224535e-05  4.93097666e-07  9.11473934e-01  9.11967733e-07 -9.15988648e-05  1.11111112e+00  1.12326620e-07  1.12326620e-07  1.11185537e-06  1.11111144e+00  6.00660592e-07  6.00660592e-07  1.11165213e-06  1.11111150e+00 -6.56584051e-07 -6.56584051e-07  1.11126361e-06
 2.30000000e+00  1.00000000e-02  9.99999862e-01  9.72321942e-01  9.72321942e-01  9.45442064e+01  9.99999622e-01  8.05284541e-01  8.05284541e-01  9.82668819e+01  6.57754948e-07 -5.55945937e-01  5.55907676e-01 -8.41094931e-01  7.50000000e-01  4.78634092e-01  4.78634092e-01  7.49982903e+05  7.49998854e-01 -2.39272064e-01 -2.39272064e-01  7.49952399e+05  1.69050485e-07 -1.02882075e+00  4.79533281e-07 -3.38975756e-05  1.36135938e-07 -2.74770181e-01  4.57972671e-07 -8.66490957e-06  2.37093824e-07  7.97714179e-01  7.97855015e-07 -3.13062792e-05  1.11111125e+00  3.91570544e-07  3.91570544e-07  1.11137347e-06  1.11111121e+00  3.29975240e-07  3.29975240e-07  1.11129419e-06  1.11111136e+00 -5.25681975e-07 -5.25681975e-07  1.11115772e-06
 2.40000000e+00  1.00000000e-02  9.99999823e-01  9.56760071e-01  9.56760071e-01  9.61318440e+01  9.99999731e-01  7.59250135e-01  7.59250135e-01  9.89117362e+01  4.88237182e-07 -5.10576646e-01  5.10561146e-01 -4.78555948e-01  7.50000000e-01  4.21263088e-01  4.21263088e-01  7.49993002e+05  7.49999112e-01 -2.10613882e-01 -2.10613882e-01  7.49979706e+05  2.79273786e-07 -1.00664357e+00  5.43302355e-07 -1.97890163e-05  4.85365239e-08 -2.31757064e-01  3.86247541e-07 -4.57680770e-06  8.81790265e-08  7.02103392e-01  7.02155901e-07 -1.39682431e-05  1.11111140e+00  5.71122235e-07  5.71122235e-07  1.11123047e-06  1.11111113e+00  1.39380698e-07  1.39380698e-07  1.11119139e-06  1.11111127e+00 -4.24908248e-07 -4.24908248e-07  1.11112988e-06
 2.50000000e+00  1.00000000e-02  9.99999795e-01  9.39627347e-01  9.39627347e-01  9.71017395e+01  9.99999806e-01  7.18308944e-01  7.18308944e-01  9.92716983e+01  3.66864534e-07 -4.70545087e-01  4.70537840e-01 -3.03544873e-01  7.50000000e-01  3.72706618e-01  3.72706618e-01  7.49996617e+05  7.49999305e-01 -1.86345233e-01 -1.86345233e-01  7.49989765e+05  3.58766284e-07 -9.77956761e-01  5.84403421e-07 -1.27216501e-05  1.65211968e-09 -1.96841589e-01  3.28046212e-07 -2.66684017e-06  3.08572636e-09  6.21177661e-01  6.21200243e-07 -7.21979034e-06  1.11111153e+00  6.82111511e-07  6.82111511e-07  1.11117321e-06  1.11111111e+00  5.41622983e-09  5.41622983e-09  1.11115142e-06  1.11111122e+00 -3.46455454e-07 -3.46455454e-07  1.11111985e-06
 2.60000000e+00  1.00000000e-02  9.99999778e-01  9.21513172e-01  9.21513172e-01  9.77442750e+01  9.99999858e-01  6.81667799e-01  6.81667799e-01  9.94900323e+01  2.78777858e-07 -4.35044290e-01  4.35040513e-01 -2.01774132e-01  7.50000000e-01  3.31334826e-01  3.31334826e-01  7.49998173e+05  7.49999451e-01 -1.65663251e-01 -1.65663251e-01  7.49994221e+05  4.08740904e-07 -9.45364969e-01  6.08946667e-07 -8.78419265e-06 -2.22084282e-08 -1.68260871e-01  2.80410835e-07 -1.67430393e-06 -4.37714799e-08  5.52225041e-01  5.52236006e-07 -4.18500906e-06  1.11111161e+00  7.45803062e-07  7.45803062e-07  1.11114738e-06  1.11111112e+00 -8.81322722e-08 -8.81322722e-08  1.11113383e-06  1.11111118e+00 -2.84760066e-07 -2.84760066e-07  1.11111571e-06
 2.70000000e+00  1.00000000e-02  9.99999768e-01  9.02848297e-01  9.02848297e-01  9.81981495e+01  9.99999895e-01  6.48687522e-01  6.48687522e-01  9.96313090e+01  2.14050080e-07 -4.03414989e-01  4.03412884e-01 -1.40459288e-01  7.50000000e-01  2.95866529e-01  2.95866529e-01  7.49998935e+05  7.49999562e-01 -1.47930958e-01 -1.47930958e-01  7.49996478e+05  4.34471191e-07 -9.10664502e-01  6.21380963e-07 -6.33799181e-06 -3.31030149e-08 -1.44684283e-01  2.41117965e-07 -1.10050251e-06 -6.77286753e-08  4.93111239e-01  4.93116932e-07 -2.59831539e-06  1.11111165e+00  7.76880258e-07  7.76880258e-07  1.11113366e-06  1.11111113e+00 -1.52644214e-07 -1.52644214e-07  1.11112474e-06  1.11111116e+00 -2.35790452e-07 -2.35790452e-07  1.11111369e-06
 2.80000000e+00  1.00000000e-02  9.99999766e-01  8.83947655e-01  8.83947655e-01  9.85311182e+01  9.99999922e-01  6.18847712e-01  6.18847712e-01  9.97264610e+01  1.65938766e-07 -3.75113884e-01  3.75112642e-01 -1.00322404e-01  7.50000000e-01  2.65285208e-01  2.65285208e-01  7.49999343e+05  7.49999648e-01 -1.32641241e-01 -1.32641241e-01  7.49997725e+05  4.41871237e-07 -8.75091827e-01  6.24970794e-07 -4.74268035e-06 -3.67963305e-08 -1.25096247e-01  2.08473361e-07 -7.52859723e-07 -7.80647638e-08  4.42142316e-01  4.42145471e-07 -1.71190120e-06  1.11111167e+00  7.85566653e-07  7.85566653e-07  1.11112600e-06  1.11111115e+00 -1.96193016e-07 -1.96193016e-07  1.11111980e-06  1.11111115e+00 -1.96586855e-07 -1.96586855e-07  1.11111266e-06
