Resistance scalars, generated 25/01/2019 15:36:04. Time to generate 0h50m57s
             s'          lambda            X11A            X12A            X21A            X22A            Y11A            Y12A            Y21A            Y22A            Y11B            Y12B            Y21B            Y22B            X11C            X12C            X21C            X22C            Y11C            Y12C            Y21C            Y22C            X11G            X12G            X21G            X22G            Y11G            Y12G            Y21G            Y22G            Y11H            Y12H            Y21H            Y22H            X11M            X12M            X21M            X22M            Y11M            Y12M            Y21M            Y22M            Z11M            Z12M            Z21M            Z22M 
 2.02500000e+00  1.00000000e-02  1.01704560e+00 -1.70578138e-02 -1.70578129e-02  1.70700444e-02  1.01205409e+00 -1.24532481e-02 -1.24532481e-02  1.28675042e-02 -1.19249540e-02  1.23189105e-02 -2.35317195e-06  1.43133459e-06  1.33333451e+00 -1.25679180e-06 -1.25679180e-06  1.34398876e-06  1.34513181e+00  1.99026903e-06  1.99026903e-06  1.36077912e-06  1.73668092e-02 -1.73793356e-02  1.63453216e-05 -1.62493337e-05  5.70419510e-03 -5.89177728e-03  5.53032867e-06 -4.90954200e-06  5.64329441e-03  2.23866324e-06  6.29882687e-06 -5.23666484e-09  1.12290781e+00  1.02382787e-05  1.02382787e-05  1.15596938e-06  1.11651201e+00  5.89746050e-06  5.89743154e-06  1.14532222e-06  1.11111201e+00 -1.00477613e-06 -1.00477613e-06  1.12351278e-06
 2.05000000e+00  1.00000000e-02  1.01382605e+00 -1.38498727e-02 -1.38498726e-02  1.38737514e-02  1.01053193e+00 -1.10838726e-02 -1.10838726e-02  1.16665259e-02 -1.03496287e-02  1.08911610e-02 -1.35973563e-06  4.46384618e-07  1.33333442e+00 -1.20437196e-06 -1.20437196e-06  1.33626685e-06  1.34350503e+00  1.01544968e-06  1.01544968e-06  1.34083625e-06  1.42137452e-02 -1.42383357e-02  6.59689030e-06 -6.45035635e-06  4.83007300e-03 -5.08201421e-03  2.62159894e-06 -1.99051086e-06  4.74661835e-03  1.70278003e-06  3.37265541e-06 -1.95874463e-09  1.12085311e+00  3.80709965e-06  3.80709965e-06  1.12478347e-06  1.11554341e+00  2.97482939e-06  2.97482939e-06  1.12153604e-06  1.11111190e+00 -9.37576188e-07 -9.37576188e-07  1.11476456e-06
 2.10000000e+00  1.00000000e-02  1.01194141e+00 -1.19989862e-02 -1.19989862e-02  1.20568820e-02  1.00916579e+00 -9.99469809e-03 -9.99469809e-03  1.09002066e-02 -8.89058182e-03  9.69384085e-03 -9.98770015e-07  1.19129621e-07  1.33333427e+00 -1.11842885e-06 -1.11842885e-06  1.33395125e-06  1.34195808e+00  6.64114829e-07  6.64114829e-07  1.33493148e-06  1.24397452e-02 -1.24998369e-02  2.60925377e-06 -2.37364414e-06  3.95377918e-03 -4.31033200e-03  1.31221814e-06 -7.11273687e-07  3.83511862e-03  1.44565705e-06  2.03297258e-06 -5.70154198e-10  1.11975058e+00  1.32708921e-06  1.32708921e-06  1.11475448e-06  1.11452384e+00  1.54830408e-06  1.54830408e-06  1.11380267e-06  1.11111173e+00 -8.29053753e-07 -8.29053753e-07  1.11196640e-06
 2.20000000e+00  1.00000000e-02  1.01072551e+00 -1.08831693e-02 -1.08831693e-02  1.10432388e-02  1.00768312e+00 -8.95961556e-03 -8.95961556e-03  1.04495913e-02 -7.26065277e-03  8.46635154e-03 -8.40587597e-07  3.54346432e-08  1.33333404e+00 -9.72364985e-07 -9.72364985e-07  1.33343377e-06  1.34019568e+00  5.14687565e-07  5.14687565e-07  1.33360155e-06  1.13261988e-02 -1.14927447e-02  1.14146919e-06 -7.67942857e-07  2.94203114e-03 -3.43008171e-03  7.33827063e-07 -2.17667726e-07  2.78018304e-03  1.22717485e-06  1.39227219e-06 -1.20531668e-10  1.11908482e+00  6.45127522e-07  6.45127522e-07  1.11189107e-06  1.11336550e+00  7.43340049e-07  7.43340049e-07  1.11166404e-06  1.11111150e+00 -6.56584051e-07 -6.56584051e-07  1.11126361e-06
 2.30000000e+00  1.00000000e-02  1.01010080e+00 -1.03881900e-02 -1.03881900e-02  1.06838981e-02  1.00667203e+00 -8.28430336e-03 -8.28430336e-03  1.02873998e-02 -6.14196695e-03  7.62567617e-03 -7.57453665e-07  2.01114084e-08  1.33333388e+00 -8.50924797e-07 -8.50924797e-07  1.33336427e-06  1.33898814e+00  4.40308934e-07  4.40308934e-07  1.33341869e-06  1.06877561e-02 -1.09918178e-02  8.36511408e-07 -3.67139726e-07  2.27702226e-03 -2.82668968e-03  5.37687702e-07 -9.90169279e-08  2.09597796e-03  1.06921322e-06  1.13719327e-06 -4.08719185e-11  1.11865032e+00  6.43384617e-07  6.43384617e-07  1.11138204e-06  1.11266630e+00  3.84324516e-07  3.84324516e-07  1.11129821e-06  1.11111136e+00 -5.25681975e-07 -5.25681975e-07  1.11115772e-06
 2.40000000e+00  1.00000000e-02  1.00961396e+00 -1.00482658e-02 -1.00482658e-02  1.05023865e-02  1.00588363e+00 -7.74843627e-03 -7.74843627e-03  1.02053637e-02 -5.27574930e-03  6.94751097e-03 -6.91197774e-07  1.37378787e-08  1.33333375e+00 -7.48919380e-07 -7.48919380e-07  1.33334619e-06  1.33806468e+00  3.83788199e-07  3.83788199e-07  1.33337000e-06  1.01153041e-02 -1.05721626e-02  7.47370937e-07 -2.13291144e-07  1.79628942e-03 -2.36517577e-03  4.27677924e-07 -5.45788456e-08  1.61052245e-03  9.39347517e-07  9.73359816e-07 -1.80255080e-11  1.11820634e+00  7.14261146e-07  7.14261146e-07  1.11123356e-06  1.11220874e+00  1.64653666e-07  1.64653666e-07  1.11119359e-06  1.11111127e+00 -4.24908248e-07 -4.24908248e-07  1.11112988e-06
 2.50000000e+00  1.00000000e-02  1.00917616e+00 -9.76552557e-03 -9.76552557e-03  1.03929750e-02  1.00524085e+00 -7.29540983e-03 -7.29540983e-03  1.01563559e-02 -4.57774601e-03  6.37204315e-03 -6.34770510e-07  1.02709082e-08  1.33333366e+00 -6.62592695e-07 -6.62592695e-07  1.33333968e-06  1.33733244e+00  3.37729580e-07  3.37729580e-07  1.33335202e-06  9.55062381e-03 -1.01638837e-02  7.13999601e-07 -1.37922799e-07  1.43643605e-03 -1.99919964e-03  3.52060260e-07 -3.34368499e-08  1.25449703e-03  8.30270230e-07  8.49243730e-07 -9.18109937e-12  1.11773809e+00  7.72033370e-07  7.72033370e-07  1.11117465e-06  1.11189919e+00  1.85683554e-08  1.85683554e-08  1.11115289e-06  1.11111122e+00 -3.46455454e-07 -3.46455454e-07  1.11111985e-06
 2.60000000e+00  1.00000000e-02  1.00876421e+00 -9.51042404e-03 -9.51042404e-03  1.03204406e-02  1.00470484e+00 -6.90136312e-03 -6.90136312e-03  1.01242233e-02 -4.00370388e-03  5.87265603e-03 -5.85528631e-07  8.02414477e-09  1.33333359e+00 -5.89041240e-07 -5.89041240e-07  1.33333684e-06  1.33674087e+00  2.99169721e-07  2.99169721e-07  1.33334401e-06  8.99123405e-03 -9.75658687e-03  6.97824998e-07 -9.64480792e-08  1.16153023e-03 -1.70351466e-03  2.95493640e-07 -2.21293024e-08  9.88244830e-04  7.37656077e-07  7.49150478e-07 -5.23722106e-12  1.11726064e+00  8.06589009e-07  8.06589009e-07  1.11114823e-06  1.11168520e+00 -8.06911437e-08 -8.06911437e-08  1.11113490e-06  1.11111118e+00 -2.84760066e-07 -2.84760066e-07  1.11111571e-06
 2.70000000e+00  1.00000000e-02  1.00837064e+00 -9.27110866e-03 -9.27110866e-03  1.02687312e-02  1.00425107e+00 -6.55283250e-03 -6.55283250e-03  1.01016712e-02 -3.52507673e-03  5.43356041e-03 -5.42095469e-07  6.48824699e-09  1.33333354e+00 -5.25985769e-07 -5.25985769e-07  1.33333543e-06  1.33625681e+00  2.66479924e-07  2.66479924e-07  1.33333994e-06  8.44330765e-03 -9.35137304e-03  6.85342529e-07 -7.08440249e-08  9.48325706e-04 -1.46155567e-03  2.51091249e-07 -1.53762839e-08  7.86191579e-04  6.58423621e-07  6.65759770e-07 -3.19518263e-12  1.11678897e+00  8.19890549e-07  8.19890549e-07  1.11113424e-06  1.11153471e+00 -1.48198059e-07 -1.48198059e-07  1.11112555e-06  1.11111116e+00 -2.35790452e-07 -2.35790452e-07  1.11111369e-06
 2.80000000e+00  1.00000000e-02  1.00799375e+00 -9.04296759e-03 -9.04296759e-03  1.02302047e-02  1.00386260e+00 -6.24116370e-03 -6.24116370e-03  1.00851312e-02 -3.12184215e-03  5.04410167e-03 -5.03470547e-07  5.36262950e-09  1.33333350e+00 -4.71618620e-07 -4.71618620e-07  1.33333467e-06  1.33585682e+00  2.38489771e-07  2.38489771e-07  1.33333767e-06  7.91387243e-03 -8.95237253e-03  6.72854556e-07 -5.41701815e-08  7.80931581e-04 -1.26161381e-03  2.15356777e-07 -1.11240230e-08  6.30999237e-04  5.90195814e-07  5.95090956e-07 -2.06809769e-12  1.11633443e+00  8.17169440e-07  8.17169440e-07  1.11112645e-06  1.11142731e+00 -1.93411807e-07 -1.93411807e-07  1.11112043e-06  1.11111115e+00 -1.96586855e-07 -1.96586855e-07  1.11111266e-06
