'D'-form nondimensionalised resistance scalars, generated 05/09/2023 22:40:55
             s'          lambda           gamma              XA              YA              YB              XC              YC              XG              YG              YH              XM              YM              ZM 
 2.00001000e+00  1.00000000e-02  0.00000000e+00  1.94270958e+01  3.88009673e-02 -5.85575335e-02  1.94009708e-07  2.94328246e-02  2.91418129e+01  2.88399069e-02  1.44936181e-02  1.16571860e+01  1.71034054e-02  4.26156789e-07
 2.00001000e+00  1.00000000e-02  1.00000000e+00 -1.94271108e+01 -3.88918875e-02  5.86876651e-02 -1.94718226e-07  5.31731658e-05 -2.91418148e+01 -2.89033599e-02  2.84250480e-05  1.16150697e-01  2.44882585e-04 -3.66177034e-07
 2.00002000e+00  1.00000000e-02  0.00000000e+00  9.71975720e+00  3.52027595e-02 -5.31206071e-02  1.91503116e-07  2.66941549e-02  1.45807057e+01  2.61610652e-02  1.31444933e-02  5.83270344e+00  1.55077493e-02  4.23207851e-07
 2.00002000e+00  1.00000000e-02  1.00000000e+00 -9.71977226e+00 -3.52936797e-02  5.32507387e-02 -1.92211634e-07  4.63960765e-05 -1.45807076e+01 -2.62245182e-02  2.48339071e-05  5.79460517e-02  2.17279717e-04 -3.63228096e-07
 2.00005000e+00  1.00000000e-02  0.00000000e+00  3.89432052e+00  3.04578564e-02 -4.59513819e-02  1.84602650e-07  2.30830857e-02  5.84242034e+00  2.26283421e-02  1.13654248e-02  2.33733714e+00  1.34033749e-02  4.15089640e-07
 2.00005000e+00  1.00000000e-02  1.00000000e+00 -3.89433559e+00 -3.05487766e-02  4.60815135e-02 -1.85311168e-07  3.75599659e-05 -5.84242226e+00 -2.26917951e-02  2.01498238e-05  2.30452458e-02  1.81151747e-04 -3.55109885e-07
 2.00010000e+00  1.00000000e-02  0.00000000e+00  1.95171197e+00  2.68857862e-02 -4.05547754e-02  1.74061570e-07  2.03651470e-02  2.92841019e+00  1.99685689e-02  1.00261055e-02  1.17169415e+00  1.18188473e-02  4.02688345e-07
 2.00010000e+00  1.00000000e-02  1.00000000e+00 -1.95172703e+00 -2.69767064e-02  4.06849070e-02 -1.74770088e-07  3.10577481e-05 -2.92841212e+00 -2.00320219e-02  1.67001272e-05  1.14284168e-02  1.54357577e-04 -3.42708590e-07
 2.00020000e+00  1.00000000e-02  0.00000000e+00  9.79703258e-01  2.33424264e-02 -3.52024577e-02  1.54695119e-07  1.76699801e-02  1.47030200e+00  1.73297411e-02  8.69755707e-03  5.88412800e-01  1.02465436e-02  3.79904241e-07
 2.00020000e+00  1.00000000e-02  1.00000000e+00 -9.79718320e-01 -2.34333466e-02  3.53325893e-02 -1.55403637e-07  2.48574589e-05 -1.47030392e+00 -1.73931942e-02  1.34057981e-05  5.63456730e-03  1.28451712e-04 -3.19924486e-07
 2.00050000e+00  1.00000000e-02  0.00000000e+00  3.95502842e-01  1.87439349e-02 -2.82590873e-02  1.02788867e-07  1.41750373e-02  5.93882094e-01  1.39038313e-02  6.97341531e-03  2.37797088e-01  8.20450625e-03  3.18837942e-07
 2.00050000e+00  1.00000000e-02  1.00000000e+00 -3.95517904e-01 -1.88348551e-02  2.83892189e-02 -1.03497385e-07  1.75610610e-05 -5.93884015e-01 -1.39672844e-02  9.51402552e-06  2.17801913e-03  9.68537277e-05 -2.58858187e-07
 2.00100000e+00  1.00000000e-02  0.00000000e+00  2.00029493e-01  1.53877855e-02 -2.31955608e-02  2.58754003e-08  1.16283564e-02  3.00591116e-01  1.14015813e-02  5.71509926e-03  1.20448257e-01  6.71191032e-03  2.28351333e-07
 2.00100000e+00  1.00000000e-02  1.00000000e+00 -2.00044556e-01 -1.54787057e-02  2.33256924e-02 -2.65839183e-08  1.33295381e-05 -3.00593037e-01 -1.14650343e-02  7.23279105e-06  1.03934135e-03  7.67401656e-05 -1.68371578e-07
 2.00200000e+00  1.00000000e-02  0.00000000e+00  1.01681097e-01  1.22412486e-02 -1.84583625e-02 -1.07983074e-07  9.25088287e-03  1.52995543e-01  9.06132717e-03  4.54066078e-03  6.13806888e-02  5.31917602e-03  7.20531601e-08
 2.00200000e+00  1.00000000e-02  1.00000000e+00 -1.01696001e-01 -1.23249135e-02  1.85777253e-02  1.08634376e-07  1.11431722e-05 -1.52997219e-01 -9.11961728e-03  6.00540995e-06  4.79209172e-04  6.26472577e-05 -9.95146633e-09
 2.00500000e+00  1.00000000e-02  0.00000000e+00  4.19257379e-02  8.65168610e-03 -1.30802484e-02 -4.47686226e-07  6.56496836e-03  6.32962082e-02  6.39844424e-03  3.21059002e-03  2.54740310e-02  3.73817826e-03 -3.24128259e-07
 2.00500000e+00  1.00000000e-02  1.00000000e+00 -4.19401229e-02 -8.71371974e-03  1.31675384e-02  4.52375622e-07  1.39816600e-05 -6.32970851e-02 -6.44142173e-03  7.33321236e-06  1.48510808e-04  6.08778072e-05  3.92491158e-07
 2.01000000e+00  1.00000000e-02  0.00000000e+00  2.16079517e-02  6.69539158e-03 -1.01907477e-02 -9.18082015e-07  5.14303198e-03  3.28064434e-02  4.96156556e-03  2.50287491e-03  1.32722471e-02  2.89281633e-03 -8.72006473e-07
 2.01000000e+00  1.00000000e-02  1.00000000e+00 -2.16213300e-02 -6.72181671e-03  1.02253529e-02  9.29365577e-07  2.36866468e-05 -3.28057690e-02 -4.97960011e-03  1.22306341e-05  3.21285316e-05  8.17843398e-05  9.50463242e-07
 2.02000000e+00  1.00000000e-02  0.00000000e+00  1.13424594e-02  5.82840707e-03 -8.99551366e-03 -1.68801070e-06  4.59875745e-03  1.74427624e-02  4.36046305e-03  2.22741342e-03  7.13930931e-03  2.55800838e-03 -1.76765613e-06
 2.02000000e+00  1.00000000e-02  1.00000000e+00 -1.13533040e-02 -5.78524443e-03  8.92757372e-03  1.71198654e-06  4.40896381e-05 -1.74381766e-02 -4.33071437e-03  2.26400143e-05 -4.59363791e-05  1.34181772e-04  1.86507262e-06
